retargeter,safety,n_steps,safety_latency_mean_ms,safety_latency_p95_ms,acceptance_rate,dropped_rate,hold_steps,stop_steps,recovering_steps,recovery_time_sec,intervention_pct,mean_intervention_magnitude,solver_failure_count,unsafe_accepted_count,min_hard_clearance_m,min_margin_clearance_m,ee_path_length_m,orientation_alignment_rad,direction_temporal_variation_rad,trajectory,replicate,input_hash
shoulder_relative,reject,80,0.0013118701704056606,0.0014600000213249587,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,27,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.0013814805030264111,0.0015470000107598025,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,28,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.0012895324667246692,0.0014600000213249587,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,29,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.001319571411285879,0.0015429995983140543,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.21568474973496854,1.5898863163574493,0.08055365778435367,vertical_sweep,0,629272caf471f89606b5dd3049b26f55990e596954231224db53f6c031c7f5d0
shoulder_relative,reject,80,0.0013882857203569004,0.0015050000001792796,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.21568474973496854,1.5898863163574493,0.08055365778435367,vertical_sweep,1,629272caf471f89606b5dd3049b26f55990e596954231224db53f6c031c7f5d0
shoulder_relative,reject,80,0.001276207766951101,0.0014050001482246444,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.21568474973496854,1.5898863163574493,0.08055365778435367,vertical_sweep,2,629272caf471f89606b5dd3049b26f55990e596954231224db53f6c031c7f5d0
shoulder_relative,reject,80,0.0013509350466918407,0.0015760001588205341,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.21568474973496854,1.5898863163574493,0.08055365778435367,vertical_sweep,3,629272caf471f89606b5dd3049b26f55990e596954231224db53f6c031c7f5d0
shoulder_relative,reject,80,0.0013241428623823358,0.001503000021330081,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.21568474973496854,1.5898863163574493,0.08055365778435367,vertical_sweep,4,629272caf471f89606b5dd3049b26f55990e596954231224db53f6c031c7f5d0
shoulder_relative,reject,80,0.001316454555225474,0.0015570003597531468,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.21568474973496854,1.5898863163574493,0.08055365778435367,vertical_sweep,5,629272caf471f89606b5dd3049b26f55990e596954231224db53f6c031c7f5d0
shoulder_relative,reject,80,0.0013308441433670035,0.0015409996194648556,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.21568474973496854,1.5898863163574493,0.08055365778435367,vertical_sweep,6,629272caf471f89606b5dd3049b26f55990e596954231224db53f6c031c7f5d0
shoulder_relative,reject,80,0.0012607662182591566,0.0013990002116770484,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.21568474973496854,1.5898863163574493,0.08055365778435367,vertical_sweep,7,629272caf471f89606b5dd3049b26f55990e596954231224db53f6c031c7f5d0
shoulder_relative,reject,80,0.0012947532379800944,0.0014409997675102204,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.21568474973496854,1.5898863163574493,0.08055365778435367,vertical_sweep,8,629272caf471f89606b5dd3049b26f55990e596954231224db53f6c031c7f5d0
